v8-version,10,2,154,26,-node.26,0
v8-platform,macos,macos
shared-library,/Users/carlohcs/.asdf/installs/nodejs/18.16.0/bin/node,0x100fd0000,0x1022f6294,16564224
shared-library,/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation,0x185e2fcf0,0x18601e094,93913088
shared-library,/usr/lib/libobjc.A.dylib,0x1859f9c00,0x185a36724,93913088
shared-library,/System/Library/PrivateFrameworks/CoreServicesInternal.framework/Versions/A/CoreServicesInternal,0x189485024,0x1894bcb30,93913088
shared-library,/System/Library/Frameworks/Foundation.framework/Versions/C/Foundation,0x186f5d2d0,0x1877fe308,93913088
shared-library,/usr/lib/liboah.dylib,0x19264a618,0x19264fcb0,93913088
shared-library,/usr/lib/libfakelink.dylib,0x19267e468,0x19267fb80,93913088
shared-library,/usr/lib/libicucore.A.dylib,0x188ebba8c,0x1891093e0,93913088
shared-library,/usr/lib/libSystem.B.dylib,0x19267b4d4,0x19267baec,93913088
shared-library,/System/Library/PrivateFrameworks/SoftLinking.framework/Versions/A/SoftLinking,0x192680bbc,0x192680e50,93913088
shared-library,/usr/lib/libc++abi.dylib,0x185d74f34,0x185d88b74,93913088
shared-library,/usr/lib/libc++.1.dylib,0x185ce7370,0x185d485f4,93913088
shared-library,/usr/lib/system/libcache.dylib,0x1926755e0,0x192678370,93913088
shared-library,/usr/lib/system/libcommonCrypto.dylib,0x1926305e8,0x19263b9d4,93913088
shared-library,/usr/lib/system/libcompiler_rt.dylib,0x19265b980,0x19265e834,93913088
shared-library,/usr/lib/system/libcopyfile.dylib,0x19265254c,0x192658f20,93913088
shared-library,/usr/lib/system/libcorecrypto.dylib,0x185b43e40,0x185bc213c,93913088
shared-library,/usr/lib/system/libdispatch.dylib,0x185c1a2a0,0x185c56d40,93913088
shared-library,/usr/lib/system/libdyld.dylib,0x185dd58f0,0x185df7f58,93913088
shared-library,/usr/lib/system/libkeymgr.dylib,0x19266a760,0x19266ae48,93913088
shared-library,/usr/lib/system/libmacho.dylib,0x19260a5ac,0x19260e87c,93913088
shared-library,/usr/lib/system/libquarantine.dylib,0x191b9db44,0x191b9fb58,93913088
shared-library,/usr/lib/system/libremovefile.dylib,0x192668304,0x192669c08,93913088
shared-library,/usr/lib/system/libsystem_asl.dylib,0x18b4b23c4,0x18b4c7010,93913088
shared-library,/usr/lib/system/libsystem_blocks.dylib,0x185add9a8,0x185ae08d8,93913088
shared-library,/usr/lib/system/libsystem_c.dylib,0x185c643b0,0x185cda2a0,93913088
shared-library,/usr/lib/system/libsystem_collections.dylib,0x19265f87c,0x192663960,93913088
shared-library,/usr/lib/system/libsystem_configuration.dylib,0x190e7a558,0x190e7d708,93913088
shared-library,/usr/lib/system/libsystem_containermanager.dylib,0x18fef8cd4,0x18ff1ae80,93913088
